,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
0,-0.07,-0.02,9.37,2023-12-10 20:56:18,,,,
1,-0.09,-0.03,9.34,2023-12-10 20:56:20,-0.00,0.01,-0.02,29.97
2,-0.08,-0.02,9.36,2023-12-10 20:56:23,-0.00,0.01,-0.02,29.97
3,-0.07,-0.03,9.38,2023-12-10 20:56:25,-0.00,0.01,-0.02,29.96
4,-0.07,0.00,9.35,2023-12-10 20:56:28,-0.00,0.01,-0.02,29.98
5,-0.08,-0.02,9.32,2023-12-10 20:56:31,-0.00,0.01,-0.02,30.00
6,-0.07,-0.01,9.36,2023-12-10 20:56:33,-0.00,0.01,-0.02,29.99
7,-0.06,-0.04,9.36,2023-12-10 20:56:36,-0.00,0.01,-0.02,30.00
8,-0.06,0.01,9.38,2023-12-10 20:56:39,-0.00,0.01,-0.02,29.99
9,-0.06,-0.02,9.34,2023-12-10 20:56:42,-0.00,0.01,-0.02,29.99
10,-0.08,-0.01,9.36,2023-12-10 20:56:45,-0.00,0.01,-0.02,30.00
11,-0.07,0.00,9.34,2023-12-10 20:56:47,-0.00,0.01,-0.02,30.00
12,-0.08,-0.01,9.40,2023-12-10 20:56:50,-0.00,0.01,-0.02,29.98
13,-0.08,-0.03,9.38,2023-12-10 20:56:52,-0.00,0.01,-0.02,29.98
14,-0.06,-0.01,9.38,2023-12-10 20:56:55,-0.00,0.01,-0.02,29.99
15,-0.07,-0.01,9.39,2023-12-10 20:56:58,-0.00,0.01,-0.02,29.98
16,-0.07,-0.03,9.37,2023-12-10 20:57:00,-0.00,0.01,-0.02,29.98
17,-0.06,-0.03,9.35,2023-12-10 20:57:03,-0.00,0.01,-0.02,29.97
18,-0.07,-0.03,9.38,2023-12-10 20:57:05,-0.00,0.01,-0.02,29.99
19,-0.07,-0.02,9.35,2023-12-10 20:57:08,-0.00,0.01,-0.02,29.94
20,-0.07,-0.02,9.38,2023-12-10 20:57:10,-0.00,0.01,-0.02,29.95
21,-0.06,-0.00,9.37,2023-12-10 20:57:13,-0.00,0.01,-0.02,29.97
22,-0.09,-0.02,9.35,2023-12-10 20:57:16,-0.00,0.01,-0.02,29.96
23,-0.06,-0.01,9.35,2023-12-10 20:57:18,-0.00,0.01,-0.02,29.97
24,-0.06,-0.04,9.36,2023-12-10 20:57:21,-0.00,0.01,-0.02,29.93
25,-0.05,-0.04,9.36,2023-12-10 20:57:24,-0.00,0.01,-0.02,29.97
26,-0.07,-0.04,9.38,2023-12-10 20:57:26,-0.00,0.01,-0.02,29.92
27,-0.07,-0.03,9.36,2023-12-10 20:57:29,-0.00,0.01,-0.02,29.95
28,-0.08,-0.03,9.37,2023-12-10 20:57:31,-0.00,0.01,-0.02,29.95
29,-0.06,-0.03,9.35,2023-12-10 20:57:34,-0.00,0.01,-0.02,29.94
30,-0.08,-0.03,9.36,2023-12-10 20:57:36,-0.00,0.01,-0.02,29.95
31,-0.07,-0.02,9.39,2023-12-10 20:57:39,-0.00,0.01,-0.02,29.93
32,-0.07,-0.04,9.37,2023-12-10 20:57:42,-0.00,0.01,-0.02,29.90
33,-0.05,-0.04,9.35,2023-12-10 20:57:44,-0.00,0.01,-0.02,29.92
34,-0.04,-0.01,9.38,2023-12-10 20:57:47,-0.00,0.01,-0.02,29.92
35,-0.07,-0.02,9.36,2023-12-10 20:57:50,-0.00,0.01,-0.02,29.90
36,-0.08,-0.01,9.37,2023-12-10 20:57:52,-0.00,0.01,-0.02,29.92
37,-0.06,-0.01,9.39,2023-12-10 20:57:55,-0.00,0.01,-0.02,29.90
38,-0.07,-0.02,9.37,2023-12-10 20:57:57,-0.00,0.01,-0.02,29.91
39,-0.06,-0.02,9.36,2023-12-10 20:58:00,-0.00,0.01,-0.03,29.90
40,-0.08,-0.01,9.36,2023-12-10 20:58:02,-0.00,0.01,-0.02,29.87
41,-0.07,-0.02,9.37,2023-12-10 20:58:05,-0.00,0.01,-0.02,29.91
42,-0.07,-0.04,9.38,2023-12-10 20:58:07,-0.00,0.01,-0.02,29.89
43,-0.06,-0.03,9.35,2023-12-10 20:58:10,-0.00,0.01,-0.02,29.90
44,-0.07,0.00,9.38,2023-12-10 20:58:13,-0.00,0.01,-0.02,29.89
45,-0.08,-0.00,9.35,2023-12-10 20:58:15,-0.00,0.01,-0.02,29.89
46,-0.07,-0.01,9.36,2023-12-10 20:58:18,-0.00,0.01,-0.02,29.92
47,-0.06,-0.02,9.34,2023-12-10 20:58:21,-0.00,0.01,-0.02,29.91
48,-0.07,-0.03,9.39,2023-12-10 20:58:23,-0.00,0.01,-0.02,29.94
49,-0.07,-0.04,9.38,2023-12-10 20:58:26,-0.00,0.01,-0.02,29.94
50,-0.09,0.00,9.35,2023-12-10 20:58:28,-0.00,0.01,-0.02,29.91
51,-0.06,-0.00,9.37,2023-12-10 20:58:31,-0.00,0.01,-0.02,29.94
52,-0.07,-0.03,9.36,2023-12-10 20:58:34,-0.00,0.01,-0.02,29.93
53,-0.07,-0.01,9.37,2023-12-10 20:58:36,-0.00,0.01,-0.02,29.92
54,-0.07,-0.04,9.38,2023-12-10 20:58:39,-0.00,0.01,-0.02,29.90
55,-0.08,0.01,9.36,2023-12-10 20:58:42,-0.00,0.01,-0.02,29.91
56,-0.06,-0.04,9.35,2023-12-10 20:58:44,-0.00,0.01,-0.02,29.90
57,-0.08,-0.01,9.36,2023-12-10 20:58:47,-0.00,0.01,-0.02,29.91
58,-0.06,-0.02,9.39,2023-12-10 20:58:50,-0.00,0.01,-0.02,29.92
59,-0.07,-0.02,9.39,2023-12-10 20:58:52,-0.00,0.01,-0.02,29.90
60,-0.07,-0.02,9.37,2023-12-10 20:58:55,-0.00,0.01,-0.02,29.92
61,-0.06,-0.01,9.35,2023-12-10 20:58:58,-0.00,0.01,-0.02,29.92
62,-0.06,-0.04,9.35,2023-12-10 20:59:00,-0.00,0.01,-0.02,29.90
63,-0.04,-0.01,9.37,2023-12-10 20:59:03,-0.00,0.01,-0.02,29.92
64,-0.07,-0.05,9.33,2023-12-10 20:59:05,-0.00,0.01,-0.02,29.91
65,-0.07,-0.01,9.36,2023-12-10 20:59:08,-0.00,0.01,-0.02,29.92
