,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
0,-3.54,0.11,8.73,2023-12-10 21:33:36,,,,
1,-5.74,-0.17,7.18,2023-12-10 21:33:38,-0.07,0.33,-0.16,32.33
2,4.16,0.52,8.69,2023-12-10 21:33:41,0.01,0.11,-0.03,32.34
3,5.15,0.53,8.18,2023-12-10 21:33:44,-0.01,-0.02,-0.02,32.35
4,-2.68,0.47,9.17,2023-12-10 21:33:46,-0.01,0.01,-0.03,32.37
5,-5.77,0.13,7.21,2023-12-10 21:33:48,-0.04,-0.78,0.01,32.44
6,-5.00,0.33,7.80,2023-12-10 21:33:51,0.08,-0.21,-0.04,32.48
7,-4.98,0.37,7.81,2023-12-10 21:33:53,-0.01,0.00,-0.03,32.57
8,5.65,0.08,7.81,2023-12-10 21:33:56,0.00,0.01,-0.02,32.65
9,-6.51,0.57,6.60,2023-12-10 21:33:58,-0.03,0.11,-0.00,32.69
10,6.44,0.58,7.33,2023-12-10 21:34:01,0.00,-0.01,-0.03,32.74
11,-4.55,0.58,8.06,2023-12-10 21:34:03,0.05,0.16,-0.03,32.80
12,-6.62,0.46,6.43,2023-12-10 21:34:08,0.01,0.05,-0.02,32.82
13,-6.87,0.61,6.26,2023-12-10 21:34:11,0.01,0.02,-0.03,32.94
14,-7.39,0.47,5.35,2023-12-10 21:34:13,-0.03,-0.01,-0.02,33.01
15,-5.33,0.45,7.45,2023-12-10 21:34:16,-0.01,0.03,-0.02,33.09
16,-4.59,0.53,8.14,2023-12-10 21:34:19,-0.03,-0.07,-0.01,33.12
17,-5.88,0.47,7.03,2023-12-10 21:34:21,0.01,0.04,-0.03,33.15
18,-6.20,0.36,6.69,2023-12-10 21:34:23,-0.02,-0.03,-0.02,33.21
19,4.78,0.26,8.37,2023-12-10 21:34:26,-0.00,0.01,-0.03,33.25
