,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
0,-0.34,0.17,9.36,2023-12-10 21:23:30,,,,
1,-0.34,0.16,9.41,2023-12-10 21:23:33,-0.00,0.01,-0.02,31.35
2,0.76,-0.05,8.89,2023-12-10 21:23:35,0.01,0.00,-0.04,31.37
3,1.63,-0.19,9.44,2023-12-10 21:23:38,-0.07,-0.58,0.01,31.39
4,-2.42,0.20,9.02,2023-12-10 21:23:40,0.01,-0.06,-0.02,31.45
5,2.43,-0.07,9.05,2023-12-10 21:23:43,-0.02,-0.04,-0.02,31.51
6,-2.87,0.29,8.78,2023-12-10 21:23:45,0.00,0.03,-0.02,31.61
7,2.78,-0.00,9.23,2023-12-10 21:23:48,-0.01,-0.03,-0.02,31.74
8,-3.73,0.26,8.50,2023-12-10 21:23:51,-0.01,0.06,-0.04,31.82
9,3.17,0.10,8.91,2023-12-10 21:23:53,0.01,-0.03,-0.01,31.97
10,-3.70,0.39,8.47,2023-12-10 21:23:56,-0.01,0.05,-0.03,32.03
11,4.29,0.11,8.65,2023-12-10 21:23:58,-0.02,-0.08,-0.03,32.07
12,-1.20,0.38,9.47,2023-12-10 21:24:01,-0.00,-0.00,-0.03,32.07
13,1.10,0.15,9.40,2023-12-10 21:24:03,-0.00,-0.06,-0.03,32.11
14,0.41,0.24,9.24,2023-12-10 21:24:06,0.00,0.03,-0.03,32.13
15,-0.38,0.28,9.35,2023-12-10 21:24:08,-0.01,-0.03,-0.02,32.17
16,1.01,0.15,9.39,2023-12-10 21:24:11,0.00,0.03,-0.02,32.22
17,1.29,0.18,9.43,2023-12-10 21:24:13,-0.00,0.04,-0.03,32.30
18,1.77,0.15,9.39,2023-12-10 21:24:16,0.00,0.04,-0.02,32.34
19,-1.02,0.53,9.52,2023-12-10 21:24:18,-0.01,0.01,-0.03,32.38
20,-1.13,0.50,9.23,2023-12-10 21:24:21,0.01,0.02,-0.03,32.45
21,-1.53,0.54,9.09,2023-12-10 21:24:24,-0.00,0.02,-0.02,32.50
22,2.52,0.33,9.20,2023-12-10 21:24:26,0.00,0.04,-0.02,32.57
23,-1.23,0.66,9.39,2023-12-10 21:24:28,-0.01,-0.04,-0.02,32.63
24,3.84,0.50,8.78,2023-12-10 21:24:31,0.01,-0.05,-0.02,32.69
25,-1.71,0.42,9.24,2023-12-10 21:24:33,-0.00,-0.03,-0.03,32.71
26,3.53,0.55,8.81,2023-12-10 21:24:36,0.00,-0.02,-0.03,32.71
27,-1.93,0.66,9.08,2023-12-10 21:24:38,-0.00,0.02,-0.01,32.73
28,-3.15,0.60,8.71,2023-12-10 21:24:41,-0.00,0.01,-0.03,32.80
29,1.41,0.59,9.29,2023-12-10 21:24:43,-0.00,0.03,-0.02,32.85
30,-2.59,0.58,8.97,2023-12-10 21:24:45,-0.01,-0.01,-0.01,32.84
31,2.77,0.63,8.96,2023-12-10 21:24:48,-0.01,-0.05,-0.02,32.85
32,-1.29,0.79,9.19,2023-12-10 21:24:50,-0.01,-0.00,-0.03,32.80
33,3.22,0.63,8.96,2023-12-10 21:24:53,-0.01,-0.03,-0.03,32.80
34,-1.06,0.60,9.22,2023-12-10 21:25:03,-0.01,-0.01,-0.03,32.79
35,2.99,0.47,9.01,2023-12-10 21:25:04,-0.01,0.01,-0.03,32.76
36,2.82,0.49,9.23,2023-12-10 21:25:06,-0.01,0.07,-0.03,32.79
37,2.25,0.45,9.24,2023-12-10 21:25:08,-0.01,0.05,-0.03,32.77
38,-2.55,0.60,8.87,2023-12-10 21:25:10,-0.01,-0.01,-0.01,32.81
39,4.08,0.58,8.72,2023-12-10 21:25:12,0.02,0.03,-0.03,32.79
40,-1.87,0.65,9.12,2023-12-10 21:25:14,-0.03,0.02,-0.02,32.80
41,-0.67,0.74,9.14,2023-12-10 21:25:15,-0.00,-0.02,-0.02,32.78
42,1.99,0.51,9.13,2023-12-10 21:25:17,0.02,0.29,-0.07,32.78
43,-1.58,0.65,9.22,2023-12-10 21:25:19,0.01,-0.02,-0.03,32.77
44,3.06,0.66,9.18,2023-12-10 21:25:20,0.00,0.11,-0.03,32.75
45,-1.85,0.65,9.13,2023-12-10 21:25:22,-0.01,0.04,-0.02,32.72
46,1.87,0.62,9.28,2023-12-10 21:25:25,-0.01,0.02,-0.02,32.72
47,-2.09,0.62,9.02,2023-12-10 21:25:27,-0.00,-0.02,-0.05,32.73
48,2.18,0.50,9.14,2023-12-10 21:25:30,-0.05,-0.00,0.00,32.70
49,-1.61,0.59,9.02,2023-12-10 21:25:32,-0.01,0.03,-0.03,32.70
50,2.19,0.45,9.21,2023-12-10 21:25:35,-0.01,0.03,-0.02,32.69
51,-2.72,0.57,8.84,2023-12-10 21:25:37,0.00,0.06,-0.03,32.65
52,1.84,0.51,9.52,2023-12-10 21:25:40,-0.01,0.01,-0.04,32.70
53,-0.93,0.53,9.39,2023-12-10 21:25:42,-0.04,0.05,-0.03,32.67
54,1.84,0.67,9.34,2023-12-10 21:25:44,-0.00,-0.04,-0.02,32.64
55,-1.27,0.62,9.19,2023-12-10 21:25:47,0.00,-0.03,-0.04,32.64
56,1.73,0.38,9.11,2023-12-10 21:25:49,-0.00,-0.01,-0.03,32.64
57,0.43,0.45,9.32,2023-12-10 21:25:52,0.02,0.01,-0.02,32.61
58,-0.12,0.48,9.26,2023-12-10 21:25:54,-0.01,0.04,-0.02,32.61
59,-0.62,0.57,9.38,2023-12-10 21:25:57,-0.00,-0.03,-0.02,32.61
60,-0.92,0.55,9.26,2023-12-10 21:25:59,0.00,-0.01,-0.03,32.58
61,-1.20,0.57,9.24,2023-12-10 21:26:02,-0.00,0.02,-0.02,32.55
62,-1.36,0.61,9.20,2023-12-10 21:26:04,0.01,0.02,-0.02,32.52
63,-1.60,0.65,9.17,2023-12-10 21:26:07,-0.00,0.01,-0.02,32.51
64,-1.79,0.62,9.13,2023-12-10 21:26:09,0.00,0.01,-0.03,32.50
65,-2.13,0.58,9.05,2023-12-10 21:26:12,-0.01,0.01,-0.03,32.45
66,-2.43,0.58,8.95,2023-12-10 21:26:14,-0.01,0.03,-0.02,32.43
67,-2.72,0.60,8.88,2023-12-10 21:26:17,-0.00,0.01,-0.02,32.42
68,-2.93,0.61,8.78,2023-12-10 21:26:19,0.01,0.00,-0.03,32.37
69,-3.16,0.62,8.74,2023-12-10 21:26:22,-0.00,-0.00,-0.03,32.38
70,-3.53,0.57,8.54,2023-12-10 21:26:24,-0.01,0.02,-0.03,32.39
71,-3.81,0.56,8.42,2023-12-10 21:26:26,0.03,-0.00,-0.01,32.37
72,-4.23,0.45,8.15,2023-12-10 21:26:29,0.00,-0.00,-0.02,32.38
73,0.46,0.31,8.06,2023-12-10 21:26:31,-0.00,0.02,-0.02,32.38
74,0.25,0.52,9.39,2023-12-10 21:26:34,0.05,-0.66,-0.02,32.37
75,1.02,0.24,9.28,2023-12-10 21:26:36,-0.01,-0.04,-0.01,32.35
76,0.68,0.28,9.38,2023-12-10 21:26:39,-0.00,-0.15,0.01,32.35
77,0.32,0.28,9.33,2023-12-10 21:26:41,-0.00,-0.02,-0.03,32.35
